Tipología cliente	Nombre cliente	cli_rao	Dirección Cliente	Ciudad/poblacion	ZIP	Tipología cliente ok
VARIOS	TARULLO LOREDANA	PIZZERIA EL JARDIN	000  - PIZZERIA EL JARDIN - AVD. RAMON Y CAJAL, 49 LOCAL 7-8 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	SCALA GIOVANNI	CASA MAVI	000  - CASA MAVI - AV DE LOS BOLICHES, 108 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA ALL'INCONTRO, S.L.	PIZZERIA ALL'INCONTRO	000  - PIZZERIA ALL'INCONTRO - AVDA. CARLOTA ALESSANDRI, 101 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	PEREZ DIAZ EUGENIO	EUGENIO PEREZ DIAZ	000  - EUGENIO PEREZ DIAZ - CALLE TIMON, 1 - Málaga	Málaga	29001	PARTICULARES
VARIOS	LA MIA ITALIA, S.L.	LA MIA ITALIA	000  - LA MIA ITALIA - AV. DE LA CONSTITUCIÓN, 31 - ARROYO DE LA MIEL	ARROYO DE LA MIEL	29630	PIZZERIA/RESTAURANTE
VARIOS	ANGELILLO MASSIMILIANO	VENTA MARIA	000  - VENTA MARIA - CTRA A 348 CALLE VENTA ABC - ORGIVA	ORGIVA	18400	PIZZERIA/RESTAURANTE
VARIOS	PAPPALARDO LUCIANO	PAPPALARDO LUCIANO	000  - PAPPALARDO LUCIANO - CALLE AZAHAR EDIFICIO LA RULETA - NUEVA ANDALUCIA	ANDALUCIA	14940	PARTICULARES
VARIOS	MILLENO PABLO MIQUEL	PIZZA PICA	000  - PIZZA PICA - AV. ACAPULCO, 4 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	DUARTE MENDIZABAL TANIA	PIZZA 1 MIJAS	000  - PIZZA 1 MIJAS - CALLE MALAGA, 15 - MIJAS	MIJAS	29650	PIZZERIA/RESTAURANTE
VARIOS	CARAMELLO SALATO BAKERY S.L.	NAPOLITAN BAKERY	000  - NAPOLITAN BAKERY - CALLE CARRETERIA, 20 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	BOTTONI CARLO	CARUSO	000  - CARUSO - PASEO MARITIMO, 9 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	RESTAURANTE LITTLE ITALY 2.0 S.C.	RESTAURANE LITTLE ITALY 2.0	000  - RESTAURANE LITTLE ITALY 2.0 - CALLE DE LA CRUZ, 3 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	IL MASCALZONE	IL MASCALZONE	000  - IL MASCALZONE - AV. LAS PALMERAS, 34 - BENALMADENA COSTA	BENALMADENA	29639	PIZZERIA/RESTAURANTE
VARIOS	DE GIROLAMO CLAUDIO	IL PANZEROTO	000  - IL PANZEROTO - PLAZA COSTA DEL SOL, - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	MADINYC S.L.	MADI	000  - MADI - CALLE SAN AGUSTIN, 11 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	FIORINI STEFANIA	SALE E PEPE	000  - SALE E PEPE - CALLE AZUSENA, 8 - TORRE DEL MAR	TORRE DEL MAR	29740	PIZZERIA/RESTAURANTE
VARIOS	CRESPI FRANCESCO	CAFETERIA TRATTORIA ROMA	000  - CAFETERIA TRATTORIA ROMA - CALLE CUARTELES, 17 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	FERNANDEZ CRUZADO DANINA	OTTAVO COLLE	000  - OTTAVO COLLE - CALLE JOSE ITURBI, 5 37A - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	IL VELIERO FUENGIROLA, S.L.	IL VELIERO	000  - IL VELIERO - PUERTO DEPORTIVO, LOCAL 7 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	CHIRICO GIUSEPPE	RESTAURANTE DAVERO	000  - RESTAURANTE DAVERO - CALLE GUADALETE, 2 - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	ROMANI ENRICHETTA	ROMANI ENRICHETTA	000  - ROMANI ENRICHETTA - PASEO DEL COLORADO, 63 1B - TORREMOLINOS	TORREMOLINOS	29620	PARTICULARES
VARIOS	ZIGLIANI ROBERTO	ZIGLIANI ROBERTO	000  - ZIGLIANI ROBERTO - CALLE SALITRE, 12 - Málaga	Málaga	29001	PARTICULARES
VARIOS	OJEDA NATALIA ALESANDRA	PIZZERIA ARTESANA	000  - PIZZERIA ARTESANA - AV. FUERZAS ARMADAS, 3 LOCL - TARIFA	TARIFA	11380	PIZZERIA/RESTAURANTE
VARIOS	PIZZUELA S.L.	PIZZUELA S.L.	000  - PIZZUELA S.L. - CALLE NUESTRA SEÑORA DE GRACIA, 5 - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	IMPORT. DE PRODUCTOS ITALIANOS SL	IMPORTACION DE PRODUCTOS ITALIANOS	000  - IMPORTACION DE PRODUCTOS ITALIANOS - CARRIL DE MONTANEZ, 45 - Málaga	Málaga	29001	DISTRIBUIDOR
VARIOS	FILINE LAKNIOVI JAMAL	MERCED, 1	000  - MERCED, 1 - CALLE GOMEZ PALLETE, 1 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	OROFINO MARCO	PINSA ROMANA	000  - PINSA ROMANA - CALLE BATALLA DEL SALADO, 82 - TARIFA	TARIFA	11380	PIZZERIA/RESTAURANTE
VARIOS	COMERCIAL MAMMA FRANCA, S.L.	COMERCIAL MAMMA FRANCA S.L.	000  - COMERCIAL MAMMA FRANCA S.L. - CAMINO DE LA TERMINCA, 41 - Málaga	Málaga	29001	DISTRIBUIDOR
VARIOS	DONNARUMMA ALESSANDRO	RESTAURANTE UNICO	000  - RESTAURANTE UNICO - CALLE ALMIRANTE FERRANDIZ, 25 LOC2 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	RESTAURANTE PINOCHO  48 S.L.	RESTAURANTE PIZZERIA PINOCHO	000  - RESTAURANTE PIZZERIA PINOCHO - CALLE ALMIRANTE FERRANDIZ, 48 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	MARINO FRANCESCO	PIZZA MIA DOLCE E SALATO	000  - PIZZA MIA DOLCE E SALATO - CALLE CORDOBA, 2 - RINCON DE LA VICTORIA	RINCON DE LA VICTORIA	29730	PIZZERIA/RESTAURANTE
VARIOS	GARCIA NUÑEZ SERGIO	SERGIO GARCIA NUÑEZ	000  - SERGIO GARCIA NUÑEZ - CALLE TIMON, 13 - Málaga	Málaga	29001	PARTICULARES
VARIOS	PAPA LUIGI IV, S.L.	PAPA LUIGI	000  - PAPA LUIGI - CALLE DEL CASTILLO, 7 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	STENCA 2019, S.L.	ARTE BIANCA	000  - ARTE BIANCA - PLAZA UNION EUROPEA, 13 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	DI DONNA RICCARDO	RICCARDO DI DONNA	000  - RICCARDO DI DONNA - PASAJE DEHESA DEL MARISCAL, 61 - PEÑARROYA-PUEBLONUEVO	PEÑARROYA-PUEBLONUEVO	14200	PARTICULARES
VARIOS	BARBA NARANJO JUAN FERNANDO	GIANNI PIZZERIA	000  - GIANNI PIZZERIA - CALLE RÍO ROCÍO, BLOQUE 10 L4 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	TESEIAPPANNATO S.L.	PIZZAMORE	000  - PIZZAMORE - CALLE ALAMOS, 45 LOCAL 1 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	TIBURZI LORENA	274 & CO.	000  - 274 & CO. - CALLE BULTO, 8 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	PAPINI MARCELLA	CARNE DIVINA	000  - CARNE DIVINA - BENAMARA DOS HERAMANAS LOC 8 - BARRIADA CORTES (ESTEPONA)	ESTEPONA	29680	PIZZERIA/RESTAURANTE
VARIOS	KAUKRILL, S.L.	LIME & LEMON	000  - LIME & LEMON - AV. LAS PALMERAS, ED MAITE 1 - BENALMADENA COSTA	BENALMADENA	29639	PIZZERIA/RESTAURANTE
VARIOS	BASTIANINI ANDREA	3ER REGGIMENTO PIRATA	000  - 3ER REGGIMENTO PIRATA - CALLE HUESCAR 2 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	FLORINA DUMITRU MIREIA	RESTAURANTE BAR LOS JARALES	000  - RESTAURANTE BAR LOS JARALES - ARRABAL CAMPING LOS JARALES, 3 - MIJAS COSTA	BENALMADENA	29639	PIZZERIA/RESTAURANTE
VARIOS	CONFUSIONE TAKE AWAY S.L.	CONFUSIONE TAKE AWAY	000  - CONFUSIONE TAKE AWAY - CALLE SAN JOSE, 40 - Cádiz	Cádiz	11004	PIZZERIA/RESTAURANTE
VARIOS	NAUTIC PINO, S.L.	CASA PASTA 2	000  - CASA PASTA 2 - CALLE LAMOS ESPINOSA, 8 LOCAL 39 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	NAUTIC PINO, S.L.	RESTAURANTE EL BOSQUE NO USAR******	000  - RESTAURANTE EL BOSQUE NO USAR****** - CALLE PALAGRELOS, 16 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	QUARANTA MARGHERITA	RISTORANTE ALBY'S	000  - RISTORANTE ALBY'S - CALLE LA NOGALERA, 3 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	LA PZZA S. COOP. AND	LEPAZZE	000  - LEPAZZE - CALLE CRUZ, 56 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	SAPIENZA FRANCESCO	CAFETERIA LA COLINA	000  - CAFETERIA LA COLINA - URB. LA COLINA ED. TORREMOLINOS - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	PINOTTI  CAMILLA	CAMILLA PINOTTI	000  - CAMILLA PINOTTI - C/ PROVENÇA, 71 1. 2 - Barcelona	Barcelona	08006	PARTICULARES
VARIOS	POLITO STEFANIA	HIBISCUS	000  - HIBISCUS - CALLE DOCTOR FLEMING, 2 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	LA ROMAGNOLA, S.C.P.	LA ROMAGNOLA	000  - LA ROMAGNOLA - AVENIDA GREGORIO PRIETO, 19 - MALAGA	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	TORINO FOOD, S.L.	UNICO	000  - UNICO - AV. DE LA CONSTITUCIÓN, 14 LOCAL 4 - ARROYO DE LA MIEL	ARROYO DE LA MIEL	29630	PIZZERIA/RESTAURANTE
VARIOS	RAINIS GIACOMO	TIRAMISU	000  - TIRAMISU - CALLE JAEN, 5 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	ROMAN ANDREA ELENA	RESTAURANTE PIZZERIA ANDREA	000  - RESTAURANTE PIZZERIA ANDREA - URBANIZACION CAÑUELO MAR - CHILCHES	CHILCHES	12529	PIZZERIA/RESTAURANTE
VARIOS	LA RUNCARIA S.COOP.A	LA VALIENTE MALAGA	000  - LA VALIENTE MALAGA - CALLE BEATAS, 29 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	PRATS VALVERDE FIAMMA	TRATORIA MANINPASTA ****NO USAR	000  - TRATORIA MANINPASTA ****NO USAR - CARRETERA ALORA, 27 - CHURRIANA	CHURRIANA	29140	PIZZERIA/RESTAURANTE
VARIOS	LA SORRENTINA, S.C.	PIZZERIA RISTORANTE LA SORRENTINA	000  - PIZZERIA RISTORANTE LA SORRENTINA - PRLOG. PASEO MARITIMO DEL PONIENTE - TORRE DEL MAR	TORRE DEL MAR	29740	PIZZERIA/RESTAURANTE
VARIOS	PROVENZANO FEDERICO	PIZZERIA CELENTANO	000  - PIZZERIA CELENTANO - CALLE YUNGERA, 6 - GUARO	GUARO	29108	PIZZERIA/RESTAURANTE
VARIOS	ILLEROIF 1999 S.L.	RISTORANTE CARMELINA	000  - RISTORANTE CARMELINA - CALLE REVUELTA, 10-12 - ESTEPONA	ESTEPONA	29680	PIZZERIA/RESTAURANTE
VARIOS	BOCCALINI FIONA	BAR AL ALEGRIA	000  - BAR AL ALEGRIA - CALLE DR EDUARDO EVANGELISTA, 4 - SAN PEDRO ALCANTARA	ALCANTARA	10980	PIZZERIA/RESTAURANTE
VARIOS	IBRAHIM ALI AHMAD	PIZZERIA KEBAB EL ZAPATAZO	000  - PIZZERIA KEBAB EL ZAPATAZO - CALLE MARMOLES, 39 LOCAL 4 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	TECNO GELATO, S.L.	PIZZERIA PRESIDENTE	000  - PIZZERIA PRESIDENTE - AVENIDA MANUEL FAGA IRIBARNE, 15 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	GRUPO AMERICA-VICTORIA, S.L.	BAR AMERICA	000  - BAR AMERICA - CALLE SAN GINES, 38 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	KNOUFA LAHOUCINE	KEBAB SALAM	000  - KEBAB SALAM - CALLE JEREZ, 5 - SAN PEDRO ALCANTARA	ALCANTARA	10980	PIZZERIA/RESTAURANTE
VARIOS	ALLA GABRIELLLE	DOÑA GABRIELLA	000  - DOÑA GABRIELLA - CALLE SAN GINES, 10 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	FRASCONI TOMMASO	PIANO PIANO	000  - PIANO PIANO - CALLE CASABLANCA, 27 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	PETROLITO FEDERICA	PASSIONE ITALIA	000  - PASSIONE ITALIA - CALLE VALLE DE ABDALAJIS, 5 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	LOT IVAN	DON CHISCIOTTE	000  - DON CHISCIOTTE - CALLE CASTILLA PEREZ, 24 BAJOS 5 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	ABBAS KEBAB S.L.	A LA TURCA	000  - A LA TURCA - PLAZA DE LA MERCED, 14 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	KE EAT S.L.	KE EAT	000  - KE EAT - CALLE MARTINEZ CATENA, 1 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	BOLIS ANDREA	ASADOR LA MARINA	000  - ASADOR LA MARINA - CALLE MAR ROJO, LOCAL 2 - TARIFA	TARIFA	11380	PIZZERIA/RESTAURANTE
VARIOS	CASTILLO LADICES	L'ANTICA NONNA MIA	000  - L'ANTICA NONNA MIA - AV. CASTILLO PEREZ, 21 C - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	WAMI MALAGA S.L.	GUSTO	000  - GUSTO - CALLE BOLSA, 11 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	STAFISSO MICHELE	AMO TE	000  - AMO TE - AVDA. MIGUEL FERNANDEZ ALCAUZA, 20 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	GONZALEZ ANTON RUTH	RISTORANTE LA PALMA	000  - RISTORANTE LA PALMA - CALLE SAN BERNARDO, 18 - MIJAS COSTA	BENALMADENA	29639	PIZZERIA/RESTAURANTE
VARIOS	DIST. J. CHACON CASEMI, S.L.	DISTRIBUCIONES CHACON	000  - DISTRIBUCIONES CHACON - AVDA. CORDOBA, NAVE 4 - SAN ROQUE	SAN ROQUE	11360	DISTRIBUIDOR
VARIOS	STILLITANO LUCA	ITALIAN PASTICCIO	000  - ITALIAN PASTICCIO - C.C. GUADALMINA, ED LA CAIXA - SAN PEDRO DE ALCANTARA	ALCANTARA	10980	PIZZERIA/RESTAURANTE
VARIOS	POZZALLO SILVIA	HOSTAL KOKKOLA	000  - HOSTAL KOKKOLA - CALLE GRAVINA, 10 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	HYNCICOVA RADANA	MERCATINO ITALIANO	000  - MERCATINO ITALIANO - CALLE HERMES, 4 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	CESCON STEFANO	STEFANO CESCON	000  - STEFANO CESCON - URB. CUESTA DEL CARMEN, - CARTAMA, DE	CARTAMA	29570	PARTICULARES
VARIOS	PUYOL NIETO S.L.	CARNICERIA FRANCI	000  - CARNICERIA FRANCI - CALLE ALHAMBRA, 3 PUERTA 2D - HERRADURA, LA	LA HERRADURA	18697	PIZZERIA/RESTAURANTE
VARIOS	MARCON ANDREA	LA PIZZA DI ANDRE	000  - LA PIZZA DI ANDRE - CALLE LOS ALMENDROS, LOCAL 20 - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	LA VIDA DE LA GENTE SARL S.C.	LA VIDA DE LA GENTE	000  - LA VIDA DE LA GENTE - CALLE CARRETERIA, 44 LOC IZQ - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	ISORNI GARCIA, S.L.	LA TABERNA DE DONBE	000  - LA TABERNA DE DONBE - CALLE PASTORA, 1 - SAN ROQUE	SAN ROQUE	11360	PIZZERIA/RESTAURANTE
VARIOS	BRAVO IL CANE DI LUCA, S.L.	DA LUCA	000  - DA LUCA - CALLE OLMOS, 43 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	ALARANDEI DANIEL	ALIMENTACION 24	000  - ALIMENTACION 24 - CALLE BATALLA SALADO, 84 - TARIFA	TARIFA	11380	TIENDA
VARIOS	EURO FRESH VEGETABLE, S.L.	KEBAB ISTAMBUL	000  - KEBAB ISTAMBUL - AV LOS BOLICES, 25 - FUENGIROLA	FUENGIROLA	29640	TIENDA
VARIOS	EL BARRIL DE SMILARI PAOLO, S.L.	EL BARRIL DEL GUSTO	000  - EL BARRIL DEL GUSTO - PLAZA JOSE PALOMO, 1 - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	BEHER TEATINOS, S.L.	BEHER TEATINOS	000  - BEHER TEATINOS - AVENIDA PLUTARCO, 16 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	LA TRATTORIA DI PAOLO, S.C	LA TRATTORIA DI PAOLO	000  - LA TRATTORIA DI PAOLO - PLAZA NEDA LOC,19 - Algeciras	Algeciras	11202	PIZZERIA/RESTAURANTE
VARIOS	ESPLIEGO INVERSIONES, S.L.	DA BRUNO SUL MARE	000  - DA BRUNO SUL MARE - ED. SKOL PASEO MARITIMO, SN - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	FERDINANDO ROMANO	LABORATORIO DELLA PIZZA	000  - LABORATORIO DELLA PIZZA - CALLE LOS HUERTOS, 2 - NERJA	NERJA	29780	PIZZERIA/RESTAURANTE
VARIOS	KE EAT S.L.	KE EAT PLAZA MAYOR	000  - KE EAT PLAZA MAYOR - CALLE PONCE DE LEON, 2 - MALAGA	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA LO SPUNTINO, S.L.	LO SPUNTINO	000  - LO SPUNTINO - CALLE FRANCISCO DE COSSIO, 14 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	ALBERTAZZI GIOVANNI	DON GOVANNI PIZZ.FAMIGLIA ITALIANA	000  - DON GOVANNI PIZZ.FAMIGLIA ITALIANA - CALLE MONTEMAYOR, LOCAL 7 - CANCELADA	CANCELADA	15318	PIZZERIA/RESTAURANTE
VARIOS	LA CASARECCIA, S.L.	LA CASARECCIA	000  - LA CASARECCIA - AV. PLUTARCO, 7 LOC 2 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	LA DOLCE VITA BEACH S.L.	CHIRINGUITO DOLCE VITA	000  - CHIRINGUITO DOLCE VITA - C/ JUAN DE LA CIERVA, S/N - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	ORAN SASSO, S.L.	DA BRUNO CABOPINO	000  - DA BRUNO CABOPINO - CTRA-. N-340 KM 194,7 - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	RICCIO FRANCESCO	SIMBA ART CAFE	000  - SIMBA ART CAFE - AV. CONSTITUCIÓN, 9 LOCAL 1 - SAN PEDRO ALCANTARA	ALCANTARA	10980	PIZZERIA/RESTAURANTE
VARIOS	CAFE ANTOINNA, S.L.	PIZZERIA PINETTO	000  - PIZZERIA PINETTO - CALLE VICENTE BLANCH PICOT, 10 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	IL METRO MARBELLA , S.L.	IL METRO MAR	000  - IL METRO MAR - CALLE QUEVEDO, EDIF. ALBATROS 3 - NUEVA ANDALUCIA	ANDALUCIA	14940	PIZZERIA/RESTAURANTE
VARIOS	CASAGRANDE FABRIZIO	LALO'S PIZZA	000  - LALO'S PIZZA - AVENIDA ANDALUCIA, 25 - TARIFA	TARIFA	11380	PIZZERIA/RESTAURANTE
VARIOS	LABUSO S.L.	CAFE BAR ARRIATE	000  - CAFE BAR ARRIATE - CALLE JOAQUIN RODRIGO, 6 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	SORRENTINO DANIEL	OFFICINA 84	000  - OFFICINA 84 - CALLE CAMINO JOSE CELA, EDIFI SKOLL - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	GRUPO BOCCACALLE, S.L.	BRUTAL	000  - BRUTAL - C/ MATALOBOS, 2 - PUERTO REAL	PUERTO REAL	11510	PIZZERIA/RESTAURANTE
VARIOS	TARIQ KEBAB, S.L.	PIZZERIA NAPOLiTANA	000  - PIZZERIA NAPOLiTANA - BOULEVAR LOUIS PASTEUR, 7 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	LOUBAH AYOUB	PIZZERIA MARGHERITA	000  - PIZZERIA MARGHERITA - CALLE MANUEL ALTOLAGUIRRE, 22 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	PAPPALARDO BROGGIO, S.L.	OCTO	000  - OCTO - AZAHAR EDF LA RULETA, 2 - MARBELLA	MARBELLA	29602	PIZZERIA/RESTAURANTE
VARIOS	ROCCO AMICA	VINO Y BRASA	000  - VINO Y BRASA - CALLE MAR, 6 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	CASA PASTA NAUTIC PINO S.L.	CASA PASTA 1	000  - CASA PASTA 1 - CALLE PALANGREROS, 16 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	CASA PASTA NAUTIC PINO, S.L.	CASA PASTA 2 ***NO USAR	000  - CASA PASTA 2 ***NO USAR - CALLE  LAMOS ESPINOSA, 8 LOCAL 39 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	CASA PASTA NAUTIC PINO, S.L.	RESTAURANTE EL BOSQUE	000  - RESTAURANTE EL BOSQUE - CALLE PALANGREROS, 16 - FUENGIROLA	FUENGIROLA	29640	PIZZERIA/RESTAURANTE
VARIOS	ROCCO AMICA	MIRAFLORES CLUB	000  - MIRAFLORES CLUB - CALLE PETUNIA, S/N - MIRAFLORES	MIRAFLORES	28792	PIZZERIA/RESTAURANTE
VARIOS	IMMESI MICHELE	LA FORQUETA	000  - LA FORQUETA - CALLE DOCTOR MIGUEL DIAZ RECIO, 38 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	EL AHMER EZZANHI KARIMA	LA MARGHERITA	000  - LA MARGHERITA - CALLE MNAUEL ALTOLAGUIRRE, 22 - Málaga	Málaga	29001	PIZZERIA/RESTAURANTE
VARIOS	BRIGITTE LOZANO, S .L.	TULIPAN	000  - TULIPAN - CALLE TORRQUEBRADA, LOCAL 11-12 - ARROYO DE LA MIEL	ARROYO DE LA MIEL	29630	PIZZERIA/RESTAURANTE
VARIOS	SUNNY BUSINESS GOURMET, S.L.	PIZZA & LOUNGE	000  - PIZZA & LOUNGE - CALLE BULTO, 65 - TORREMOLINOS	TORREMOLINOS	29620	PIZZERIA/RESTAURANTE
VARIOS	TRASPASO MALAGA BARCELONA	TRASPASO MALAGA BARCELONA	000  - TRASPASO MALAGA BARCELONA - CALLE PRIORA XIXILONA 87-91 - GARRIGA, LA	LA GARRIGA	08530	quitar
VARIOS	CLIENTES PARTICULARES BARCELONA	CLIENTES PARTICULARES BARCELONA	000  - CLIENTES PARTICULARES BARCELONA - PRIORA XIXILONA, 89 - GARRIGA, LA	LA GARRIGA	08530	PARTICULARES
VARIOS	CLIENTES PARTICULARES MADRID	CLIENTES PARTICULARES MADRID	000  - CLIENTES PARTICULARES MADRID - CALLE CABO FINISTERRE, 9 - ARGANDA DEL REY	ARGANDA DEL REY	28500	PARTICULARES
VARIOS	CLIENTES PARTICULARES MALAGA	CLIENTES PARTICULARES MALAGA	000  - CLIENTES PARTICULARES MALAGA - CALLE ATENAS, 63 - Málaga	Málaga	29001	PARTICULARES
VARIOS	CLIENTES PARTICULARES SEVILLA	CLIENTES PARTICULARES SEVILLA	000  - CLIENTES PARTICULARES SEVILLA - AVENIDA UMBRETE, 5A - BOLLULLOS DE LA MITACION	BOLLULLOS DE LA MITACIÓN	41110	PARTICULARES
VARIOS	TRASPASO PROVISIONAL MALAGA	TRASPASO PROVISIONAL CENTRO MALAGA	000  - TRASPASO PROVISIONAL CENTRO MALAGA - P.I. SAN LUIS MALAGA - MALAGA	Málaga	29001	quitar
VARIOS		DESTRUCCIONS- REGULARIZACION	000  - DESTRUCCIONS- REGULARIZACION -  -	-	-	quitar
VARIOS		ALMACEN BARCELONA	000  - ALMACEN BARCELONA -  -	BARCELONA	08006	quitar
VARIOS		ALMACEN MADRID	000  - ALMACEN MADRID -  -	Madrid	28001	quitar
VARIOS		ALMACEN SEVILLA	000  - ALMACEN SEVILLA -  -	SEVILLA	41013	quitar
VARIOS		ALMACEN MALAGA	000  - ALMACEN MALAGA -  -	MALAGA	29001	quitar
PIZZERIES/REST.	HOSTECO, S.L	HOSTECO, S.L	000  - HOSTECO, S.L - C/SANT LLUIS, 37 - BARCELONA	BARCELONA	08006	PIZZERIA/RESTAURANTE
VARIOS	PIZZA PINKY S.L.	PIZZA PINKY S.L.	000  - PIZZA PINKY S.L. - AV BARCELONA 14 ED MIAMI CENTER - MIAMI-PLATJA	MIAMI-PLATJA	43829	PIZZERIA/RESTAURANTE
VARIOS	DANIMAR 2012, S.L.	RISTORANTE EDEN	000  - RISTORANTE EDEN - C/ PROVEN«A, 332 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA 1900, S.L.	PIZZERIA 1900 C¿NOVES	000  - PIZZERIA 1900 C¿NOVES - CAMI DE CASTELLAR, S/N - CANOVES	CANOVES	08445	PIZZERIA/RESTAURANTE
VARIOS	GARRIGA GENEST”S PILAR	PILAR GARRIGA GENEST”S	000  - PILAR GARRIGA GENEST”S - C/ BUENOS AIRES, 1. 1er.1a - CENTELLES	CENTELLES	08540	PIZZERIA/RESTAURANTE
VARIOS	METUSHI YLLKA	SAN MARCO VENEZIA	000  - SAN MARCO VENEZIA - C/ ROBERT GERHARD, 5 LOCAL 6 - CAMBRILS	CAMBRILS	43850	PIZZERIA/RESTAURANTE
