Tipología cliente	Nombre cliente	cli_rao	Dirección Cliente	Ciudad/poblacion	ZIP	Tipología cliente ok
VARIOS	CREATIVE FOODING, S.L.	TOTO	000  - TOTO - VALENCIA, 246 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	RAQUEL GOMEZ PERALTA	RAQUEL GOMEZ PERALTA	000  - RAQUEL GOMEZ PERALTA - C/ SNT SEBASTIÀ, 15 - AMETLLA DEL VALLES, L	AMETLLA DEL VALLES	08480	PARTICULARES
VARIOS	AL PASSATORE	AL PASSATORE PLA DE PALAU 11	000  - AL PASSATORE PLA DE PALAU 11 - PLA DE PALAU, 11 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	LA TRATTORIA ROMANA, S.A	RESTAURANTE CASA MIA	000  - RESTAURANTE CASA MIA - C. JOSEFA VALCARCEL, 10 - Madrid	Madrid	28001	PIZZERIA/RESTAURANTE
MAGATZEM MADRID	FINCA CORTESIN DON GIOVANNI S.L.	RESTAURANTE DON GIOVANNI	000  - RESTAURANTE DON GIOVANNI - CALLE DOCE DE OCTUBRE, 20 4A - Madrid	Madrid	28001	PIZZERIA/RESTAURANTE
VARIOS	ANTONIO MORI MARRERO	RISTORANTE EL ASTRONAUTA	000  - RISTORANTE EL ASTRONAUTA - AVDA. MAR MEDITERRANEO, 74 - VALDEMORO	VALDEMORO	28343	PIZZERIA/RESTAURANTE
VARIOS	TOMAS ESPADA CASTILLO	TOMAS ESPADA CASTILLO	000  - TOMAS ESPADA CASTILLO - CALLE IBIZA, 26 - Madrid	Madrid	28001	PARTICULARES
PIZZERIES/REST.	RISTORANTE IL BAMBINO	RISTORANTE IL BAMBINO	000  - RISTORANTE IL BAMBINO - C. MARTÍNEZ DE LA RIBA, 36 - Madrid	Madrid	28001	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	THE KNIFE	THE KNIFE	000  - THE KNIFE - AVDA. DEL JUNCAL 22-24 - SAN SEBASTIAN DE LOS REYES	SAN SEBASTIÁN DE LOS REYES	28703	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	PIZZETTARO PARQUE SUR	PIZZETTARO PARQUE SUR	000  - PIZZETTARO PARQUE SUR - AVDA. GRAN BRETAÑA S/N (parque sur) - Leganés	Leganés	28912	PIZZERIA/RESTAURANTE
VARIOS	TRATTORIA SAN BRANCATO	TRATTORIA SAN BRANCATO	000  - TRATTORIA SAN BRANCATO - CAMILO JOSE CELA,22 - ROZAS DE MADRID, LAS	LAS ROZAS DE MADRID	28231	PIZZERIA/RESTAURANTE
VARIOS	MONTECATINI NUEVO	MONTECATINI NUEVO	000  - MONTECATINI NUEVO - C/ CAMILE , 10 - MATAS, LAS	LAS MATAS	28290	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA LA DIAVOLETTA	PIZZERIA LA DIAVOLETTA	000  - PIZZERIA LA DIAVOLETTA - Ronda Atocha, 24 - Madrid	Madrid	28001	PIZZERIA/RESTAURANTE
VARIOS	BONATI  VOCOS, C.B.	MAMMA MIA TRES CANTOS	000  - MAMMA MIA TRES CANTOS - C/ DEL COMERCIO, 27 - TRES CANTOS	TRES CANTOS	28760	PIZZERIA/RESTAURANTE
VARIOS	TRATTORIA BOCCADORO	TRATTORIA BOCCADORO	000  - TRATTORIA BOCCADORO - Ctra Galapagar  28 - COLMENAREJO	COLMENAREJO	28270	PIZZERIA/RESTAURANTE
VARIOS	SIALA MANGIARE, S.L.	INCONTRO	000  - INCONTRO - Avenida Cantabria, 39 - Madrid	Madrid	28001	PIZZERIA/RESTAURANTE
